text,start_pos,end_pos,path,id,text_len,t_filter_10000
"he Constraints and options are: Form-function mappings, fused constructions and argument trespassing across clause boundaries, s ntence constituents (espacially verb arguments) move across these clause boundaries, the semantic roles of subject and the passive.",1791,2051,../../preprocess/data/1.txt,16,260.0,362702.0
4.,2053,2055,../../preprocess/data/1.txt,17,2.0,92612.0
Sketch the major phonological differences between English and German.,2056,2125,../../preprocess/data/1.txt,18,69.0,167199.0
Focus either on (1) contrasting the vowel inventories of English and German or (2) contrasting the consonant inventories of English and German or (3) phonotatic differences between English and German.,2126,2326,../../preprocess/data/1.txt,19,200.0,129420.0
"(3)  In German the main stress is usually placed on the first element, whereas in English it often happens that more than one element is stressed.",2328,2474,../../preprocess/data/1.txt,20,146.0,320125.0
T e main stress in English can even be on the second or third element of a compound.,2475,2559,../../preprocess/data/1.txt,21,84.0,205547.0
Another difference is the r ythm.,2560,2593,../../preprocess/data/1.txt,22,33.0,282726.0
"lthough English and German are both stress-timed languages, syllable stress in English is much more isochronous than in Germannn",2595,2723,../../preprocess/data/1.txt,23,128.0,219265.0
1.,0,2,../../preprocess/data/2.txt,0,2.0,236813.0
"Write a description for the following key terms in the area of second language learning: 
    1.1 second language(s): Second languages are the ones learned later than in the earliest childhood.",3,196,../../preprocess/data/2.txt,1,193.0,175864.0
They encompass two kinds ÃÂÃÂ³f languages: The ones of wider communication within the local region and the ones which are truly foreign and have no substantial local uses or number of speakers.,197,387,../../preprocess/data/2.txt,2,196.0,147212.0
The two kinds are included within one general term since the learning processes of both are essentially the same.,388,501,../../preprocess/data/2.txt,3,113.0,183759.0
"1.2 Language skills: There are four key communication skills when learning second languages, listening, reading, speaking and writing.",507,641,../../preprocess/data/2.txt,4,134.0,163338.0
They combine oral and written factors with the receptive and productive units       1.3  anguage-lerning target: Most of the 20th century research of language science is based on the Chomsky's view.,642,840,../../preprocess/data/2.txt,5,198.0,125312.0
"It says that the object of study, in this case the language target, should be the underlying competence of an ideal speaker-listener of each given language.",841,997,../../preprocess/data/2.txt,6,156.0,197509.0
"So the native speaker competence  conduce as a convergent, single target for the L2 developement.",998,1095,../../preprocess/data/2.txt,7,97.0,265330.0
Later t ese ideas were challenged in aspects of variability.,1096,1156,../../preprocess/data/2.txt,8,60.0,234489.0
"The focus lied ob the emphasis on the dynamic nature of all language knowledge and a range of new terminology reflected the more open view of language learning goals, like advanced L2 users or multi-component speakers and others.",1157,1386,../../preprocess/data/2.txt,9,229.0,132882.0
"1.4 Property vs. Transition L2 Theory: The property theory focusses on modeling the nature of the language system which is to be aquired, whereas th transition theory focusses on the change and developmental processes of language aqui ition.",1392,1633,../../preprocess/data/2.txt,10,241.0,171316.0
1.5 Interlanguage: The interlanguage is an in-between L2 system in transition towards the native-like target.,1639,1748,../../preprocess/data/2.txt,11,109.0,101724.0
Because L2 learners go through a series of developmental stages from deviant versions to more elaborate and target-like versions.,1749,1878,../../preprocess/data/2.txt,12,129.0,95307.0
The systematicities of interlanguage is a regular developmental sequence as well as a systematic production of non-targetlike forms.,1879,2011,../../preprocess/data/2.txt,13,132.0,150172.0
For example: the formation of negative sentences.,2012,2061,../../preprocess/data/2.txt,14,49.0,39658.0
"1.6 Implicit vs. Explicit Learning/Knowledge: The implicit learning is an acquisition of many of the most fundamental abilities, for example motor skills, object recognition or language.",2066,2252,../../preprocess/data/2.txt,15,186.0,154655.0
It relys on adaptations to the regularities of the world that proceed without the intention to learn and without the involvement of conscious awareness.,2253,2405,../../preprocess/data/2.txt,16,152.0,82554.0
"The explicit learning in contrast contains various mnemonics, heuristics and strategies which are engaged to induce a representation system.",2406,2546,../../preprocess/data/2.txt,17,140.0,118194.0
.,2554,2555,../../preprocess/data/2.txt,18,1.0,73862.0
Provide a short overview of second language learning theories.,2556,2618,../../preprocess/data/2.txt,19,62.0,53754.0
"In gereral second language learning theories should cover all kinds of learning, not only the formal, planned and systematic, but also the informal and unstructured.",2619,2784,../../preprocess/data/2.txt,20,165.0,50704.0
The beginnings in the 1970s start with the Chomskian Generative Grammar as a predominant theory in the linguistics.,2785,2900,../../preprocess/data/2.txt,21,115.0,52604.0
"It includes the question of the extent to which innate UG principles and parameters accessible in second language acquisition and also the fundamental similarity or difference between the first and second language, but as well between childish and adult learning.",2901,3164,../../preprocess/data/2.txt,22,263.0,72044.0
In the 80s the focus on the relationship between learner-internal and external processes in L2 acquisition became more relevant in the interactionist SLA.,3165,3319,../../preprocess/data/2.txt,23,154.0,31959.0
"The input, interaction and output became essential external variables and the influence of social context and the interaction with this context were revealed.",3320,3478,../../preprocess/data/2.txt,24,158.0,40092.0
The  0s were based on the emergentist SLA which thinks of the linguistic knowledge as a by-product of the establishment of networked connektions upon exposure to the probabilistic patterns unterlying the linguistic input.,3479,3700,../../preprocess/data/2.txt,25,221.0,57156.0
"Now the learning and processing are discovered as inseparable, not as completely different mechanisms anymore.",3701,3811,../../preprocess/data/2.txt,26,110.0,135729.0
"Emergentist aproaches are for example the corpus linguistic analyses, psycholinguisitic theories and the probablistic and frequency-based theories.",3812,3959,../../preprocess/data/2.txt,27,147.0,83666.0
Language knowledge is seen as experience- riven and as a continuously adapting sytem in response to language exposure.,3960,4078,../../preprocess/data/2.txt,28,118.0,34864.0
3.,4081,4083,../../preprocess/data/2.txt,29,2.0,50085.0
"Discuss the following two key research questions:
    3.1 How can second language performance and proficiency be most adequately (i.e. validly, reliably and feasibly) measured?",4084,4260,../../preprocess/data/2.txt,30,176.0,32449.0
The performance and proficiency can be most adequately measured by the common european framework of r ference for languages (CEFR)  There are three level groups: A) for the basic user B) the independent user C) the Proficient user.,4265,4496,../../preprocess/data/2.txt,31,231.0,0.0
"Within the CEFR different standards are laid down which ensure an orientation relating to  alidity, reliability and feasibility.",4497,4625,../../preprocess/data/2.txt,32,128.0,0.0
Furthermore there are language assessments to ensure the three factors.,4626,4697,../../preprocess/data/2.txt,33,71.0,0.0
"Like for example the ACAW, MICUSP, BAWE and ICLE which give the opportunity to compare native and learner corpora oder learner and expert corpora.",4698,4844,../../preprocess/data/2.txt,34,146.0,0.0
The measures can be of syntactic or lexical comlexity.,4845,4899,../../preprocess/data/2.txt,35,54.0,0.0
3.2 What factors affect second language learning?,4905,4954,../../preprocess/data/2.txt,36,49.0,0.0
The learning of a second language and the outcomes vary considerably and the sources of the variation are multifaceted.,4959,5078,../../preprocess/data/2.txt,37,119.0,0.0
This factors can be devided into learner-internal and learner-external factors.,5079,5158,../../preprocess/data/2.txt,38,79.0,0.0
"The internal factors include cognitive abilities and personality dimensions, such as working memory, phonological short term memory, aptitude or motivation.",5159,5315,../../preprocess/data/2.txt,39,156.0,0.0
"The external factors are related to the learners environment where the learning takes place, such as input, interaction or instuctional factors.",5316,5460,../../preprocess/data/2.txt,40,144.0,0.0
1.,0,2,../../preprocess/data/3.txt,0,2.0,0.0
Describe the four main components (IMRAD) of the research report.,3,68,../../preprocess/data/3.txt,1,65.0,0.0
"The research report includes four components, shortened by the acronym IMRAD which stands for Introduction, Method, Results And Discussion.",70,209,../../preprocess/data/3.txt,2,139.0,0.0
In the introduction should refer to the subject of the study - the purpose and the reason for conducting it.,210,318,../../preprocess/data/3.txt,3,108.0,0.0
"It should give the background and the preview of the subject, for example the description of the discussed  henomenon, the literature review and the presentation of the research questions and hypthesis.",319,521,../../preprocess/data/3.txt,4,202.0,0.0
"The m thod looks at the question when, where and how the study was done and which materials or study groups were involved.",522,644,../../preprocess/data/3.txt,5,122.0,0.0
It can be devided into corpus-based and experimental/ behavioral studies.,645,718,../../preprocess/data/3.txt,6,73.0,0.0
ohT m thod of c rpus-based studies includes the description of the used corpus data ( or example cross-sectional or longitudinal and spoken or written) and the description of the data pre- and postprocessing (like the data extraction procedure or the data annotation).,719,987,../../preprocess/data/3.txt,7,268.0,0.0
"The method of experimental or behavioral studies includes the subjects and the used material,  timuli and procedure.",988,1104,../../preprocess/data/3.txt,8,116.0,0.0
"The method is followed by the presentation of the results, surrounding the answer to the research question and what the study found and whether the tested hypothesis are true.",1105,1280,../../preprocess/data/3.txt,9,175.0,0.0
"In a first step the results are layed out in a descriptive summary, where tables and figures can be presented to summarize and picture the findings and beeing discussed afterwards.",1281,1461,../../preprocess/data/3.txt,10,180.0,0.0
"The figures or tables aren't sufficient by their own, they should be underlined by the suggestions from the descriptive statistics.",1462,1593,../../preprocess/data/3.txt,11,131.0,0.0
In a second step the researcher submit the data to statistical analysis with inferential statistics.,1594,1694,../../preprocess/data/3.txt,12,100.0,0.0
"Here the type of the used test and the relevant measures (p-value, degrees of freedom, confidence intervals) are presented.",1695,1818,../../preprocess/data/3.txt,13,123.0,0.0
The final  omponent of the research report is the discussion of the results.,1819,1895,../../preprocess/data/3.txt,14,76.0,0.0
"It should give an answer to the following questions: What might the answer imply and why does it matter; how does it fit in with what other researchers have found; what are  
            ives for future research.",1896,2108,../../preprocess/data/3.txt,15,212.0,0.0
"Therefore the discussion includes a short summary of the results, a discussion of the theoretical and applied implications and a view to the future direction of research with the open questions which remained unsettled.",2109,2328,../../preprocess/data/3.txt,16,219.0,0.0
2.,2331,2333,../../preprocess/data/3.txt,17,2.0,0.0
"Provide a description of the following terms: 
    2.1 Population: Population is the statistical key term for a group that  epresents all objects of interest.",2334,2492,../../preprocess/data/3.txt,18,158.0,0.0
2.2.,2498,2502,../../preprocess/data/3.txt,19,4.0,0.0
Sample: Samples are used as representatives of the population.,2503,2565,../../preprocess/data/3.txt,20,62.0,0.0
"There is also a  ampling error, which stands for  he tolerated  ifferences between a sample statistic and the corresponding population parameter.",2566,2711,../../preprocess/data/3.txt,21,145.0,0.0
"The smaller this sampling error, the closer the representation of the sample stands fo  the true characteristics of the population.",2712,2843,../../preprocess/data/3.txt,22,131.0,0.0
"2.3 Types of Sampling:  here are different types of sampling, such as random, representative and convenience sampling.",2848,2966,../../preprocess/data/3.txt,23,118.0,0.0
"The first says that every member of the population has equal chances to be selected, the second is drawing a sample in such a way that it matches the population on certain characteristics and the third collects data from population members who are conveniently available to participate in a study.",2967,3264,../../preprocess/data/3.txt,24,297.0,0.0
2.4 Parameters: Parameters are the optained values of a population.,3270,3337,../../preprocess/data/3.txt,25,67.0,0.0
For example the comparison of the speech rate of speakers of dutch spoken in Belgium and in the Netherlands.,3338,3446,../../preprocess/data/3.txt,26,108.0,0.0
"The population would be formed by all dutch speakers in the two countys, whereas the parameters would be formed by the values obtained from that population.",3447,3603,../../preprocess/data/3.txt,27,156.0,0.0
2.5 Operationalization: Operationalization describes the process of defining the measurement of a phenomenon that isn't directly measurable.,3609,3749,../../preprocess/data/3.txt,28,140.0,0.0
"It ensures a clear de inition of a abstract concept to make it distinguishable, understandable and measurable in terms of empirical observations.",3750,3895,../../preprocess/data/3.txt,29,145.0,0.0
"Variables are strictly defined into measurable factors, so that the  can be measured as well empirically as quantitatively.",3896,4019,../../preprocess/data/3.txt,30,123.0,0.0
2.6 Descriptive vs. inferential statistics: There are two kinds of statistics: the descriptive and inferential.,4025,4136,../../preprocess/data/3.txt,31,111.0,0.0
The first one provides the characteristics of a sample - for example the average speech rate in a sample of 200 belgian dutch speakers.,4137,4272,../../preprocess/data/3.txt,32,135.0,0.0
"Measures of descriptive statistics are for example measures of  entral tendency (mode, median, mean) or of variability (range, interquartile range).",4273,4421,../../preprocess/data/3.txt,33,148.0,0.0
he inferential statistics calculate with the findings of the descriptive by using the characteristics of the sample to make conclusions about a population in general.,4423,4589,../../preprocess/data/3.txt,34,166.0,0.0
For examlple the comparison of the speech rate of speakers of Dutch spoken in two different countries.,4590,4692,../../preprocess/data/3.txt,35,102.0,0.0
Interferential statistics can reveal whether the difference is statistically significant or can be merely a tributed to chance.,4693,4820,../../preprocess/data/3.txt,36,127.0,0.0
Therefore the sampling error is used.,4821,4858,../../preprocess/data/3.txt,37,37.0,0.0
3.,4861,4863,../../preprocess/data/3.txt,38,2.0,0.0
"Describe 
    3.1 Measures of central tendency: Measures of central tendency belong to the descriptive statistics.",4864,4978,../../preprocess/data/3.txt,39,114.0,0.0
"There are three types: mode, median and mean.",4979,5024,../../preprocess/data/3.txt,40,45.0,0.0
"The mode is the value that occures most frequently in the searched data set, whereas the median is the value, that when you bri g all values in order, is the one in the middle.",5025,5201,../../preprocess/data/3.txt,41,176.0,0.0
To concretise: there have to be equal numbers of values above and below the median.,5202,5285,../../preprocess/data/3.txt,42,83.0,0.0
"The mean is the usual average, therefore the sum of measurements is divided by the number of measurements.",5286,5392,../../preprocess/data/3.txt,43,106.0,0.0
The most popular example is the determination of a classes grade point average.,5393,5472,../../preprocess/data/3.txt,44,79.0,0.0
3.2 Measures of variability: The measures of variability belongs to the descriptive statistics as well.,5478,5581,../../preprocess/data/3.txt,45,103.0,0.0
"There should be named four types in this journal: range, interquartile range, variance and standard deviation.",5582,5692,../../preprocess/data/3.txt,46,110.0,0.0
The range is the difference between the highest and the lowest value.,5693,5762,../../preprocess/data/3.txt,47,69.0,0.0
"It's problem is, that it can be missleading when there are outliners.",5763,5832,../../preprocess/data/3.txt,48,69.0,0.0
The interquartile range devides the distribution of values into quarters which forms the quartiles.,5833,5932,../../preprocess/data/3.txt,49,99.0,0.0
"The first quartile is the quarter of the lowest observations, the second the quarter of the observations up to the median, the third is the quarter of observations above the median and the fourth is the quarter of highest observations.",5933,6168,../../preprocess/data/3.txt,50,235.0,0.0
The variance defines the variability of data by terms of how close the scores in the distribution are to the middle of the distribution.,6169,6305,../../preprocess/data/3.txt,51,136.0,0.0
It is defined as the average squared difference of the scores from the mean.,6306,6382,../../preprocess/data/3.txt,52,76.0,0.0
So this measurement uses a measure of central tendency - the mean for the middle of the distribution.,6383,6484,../../preprocess/data/3.txt,53,101.0,0.0
"The last one, the standard deviation, is the square root of the variance.",6485,6558,../../preprocess/data/3.txt,54,73.0,0.0
